1737879374.1653407 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x2, 0xa0, 0xb
1737879374.1673377 CAN1, ID=0x1da, DLC=8, 0x1, 0x40, 0x0, 0x0, 0x7f, 0xfe, 0x3, 0xcf
1737879374.1713252 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0x80, 0x0, 0x3, 0x7
1737879374.1723247 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0x61, 0xcd
1737879374.1733222 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0x62, 0x0, 0x1, 0x75
1737879374.1743171 CAN0, ID=0x1dc, DLC=8, 0x5d, 0x3, 0x8f, 0xfd, 0x4, 0xc4, 0xc6, 0x57
1737879374.1753173 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x3, 0x0, 0x14
1737879374.1775403 CAN1, ID=0x1da, DLC=8, 0x1, 0x40, 0x0, 0x0, 0x7f, 0xfe, 0x0, 0xc5
1737879374.179895 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0xc0, 0x0, 0x0, 0xca
1737879374.1815162 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0x61, 0xa
1737879374.183151 CAN1, ID=0x390, DLC=8, 0x4, 0x0, 0x0, 0x0, 0x0, 0x80, 0x21, 0x2d
1737879374.1842306 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0x62, 0x0, 0x2, 0x7f
1737879374.1853435 CAN1, ID=0x393, DLC=8, 0x0, 0x10, 0x0, 0x0, 0x20, 0x0, 0x0, 0x24
1737879374.1864223 CAN0, ID=0x1dc, DLC=8, 0x5d, 0x3, 0x8f, 0xfd, 0x8, 0xc0, 0xc3, 0x35
1737879374.1875064 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x0, 0x1f, 0xff
1737879374.1891127 CAN1, ID=0x1da, DLC=8, 0x1, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x1, 0x75
1737879374.191115 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x0, 0x0, 0x1, 0xdc
1737879374.1921122 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0x61, 0xc6
1737879374.194106 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0x62, 0x0, 0x3, 0xfa
1737879374.1951034 CAN0, ID=0x1dc, DLC=8, 0x5d, 0x3, 0x8f, 0xfd, 0xc, 0xdc, 0xc4, 0xf4
1737879374.1961055 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x0, 0xa0, 0x6
