1737880060.7572095 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0x1a
1737880060.7661874 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x0, 0x37
1737880060.7671838 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0xc1
1737880060.7741666 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x1, 0xb2
1737880060.7771585 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0xb9
1737880060.7850883 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x2, 0xb8
1737880060.7860923 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0xdb
1737880060.794411 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x3, 0x3d
1737880060.7954154 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0x1a
1737880060.8044145 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x0, 0x37
1737880060.8054185 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0xc1
1737880060.8153045 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x1, 0xb2
1737880060.8163102 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0xb9
1737880060.8250167 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x2, 0xb8
1737880060.8256042 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0xdb
1737880060.82764 CAN0, ID=0x55b, DLC=8, 0x29, 0x0, 0xaa, 0x0, 0x0, 0x0, 0x30, 0x86
1737880060.8444068 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x3, 0x3d
1737880060.8454113 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0x1a
1737880060.8573766 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x0, 0x37
1737880060.8583763 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0xc1
1737880060.8676617 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x1, 0xb2
1737880060.8686628 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0xb9
1737880060.8829072 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x2, 0xb8
1737880060.8858893 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0xdb
1737880060.892872 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x3, 0x3d
1737880060.8938677 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0x1a
1737880060.9014337 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x0, 0x37
1737880060.9026859 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0xc1
1737880060.9117215 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x1, 0xb2
1737880060.9127169 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0xb9
1737880060.9218166 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x2, 0xb8
1737880060.9228091 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0xdb
1737880060.9334002 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x3, 0x3d
1737880060.9353764 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0x1a
1737880060.9433658 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x0, 0x37
1737880060.9452176 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0xc1
1737880060.9482114 CAN0, ID=0x55b, DLC=8, 0x29, 0x0, 0x55, 0x0, 0x0, 0x0, 0x31, 0x44
1737880060.957529 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xac, 0x6b, 0x10, 0x0, 0x1, 0x8
1737880060.9585297 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0xb9
1737880060.9672549 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xac, 0x6b, 0x10, 0x0, 0x2, 0x2
1737880060.968247 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0xdb
1737880060.97568 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xac, 0x6b, 0x10, 0x0, 0x3, 0x87
1737880060.9766462 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0x1a
1737880060.9856956 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xac, 0x6b, 0x10, 0x0, 0x0, 0x8d
1737880060.986382 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0xc1
1737880061.0024521 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xac, 0x6b, 0x10, 0x0, 0x1, 0x8
1737880061.00345 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0xb9
1737880061.0125034 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xac, 0x6b, 0x10, 0x0, 0x2, 0x2
1737880061.0134995 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0xdb
1737880061.022478 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xac, 0x6b, 0x10, 0x0, 0x3, 0x87
