1737879739.6805975 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x4, 0xc4, 0xc6, 0x1c
1737879739.681592 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x1, 0x60, 0x16
1737879739.68932 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x2, 0x8f
1737879739.6912744 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x8, 0xc0, 0xc3, 0x7e
1737879739.692274 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x2, 0x40, 0x6
1737879739.7004077 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x3, 0xa
1737879739.7014134 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0xc, 0xdc, 0xc4, 0xbf
1737879739.702412 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x2, 0xa0, 0xb
1737879739.7183695 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x0, 0x0
1737879739.7193675 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x1, 0x10, 0xe1, 0x64
1737879739.7203636 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x3, 0x0, 0x14
1737879739.7213612 CAN0, ID=0x55b, DLC=8, 0xf7, 0x0, 0x55, 0x0, 0xff, 0xc0, 0x11, 0x68
1737879739.7293382 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x1, 0x85
1737879739.7303836 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x4, 0xc4, 0xc6, 0x1c
1737879739.7313342 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x0, 0x1f, 0xff
1737879739.7393572 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x2, 0x8f
1737879739.741314 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x8, 0xc0, 0xc3, 0x7e
1737879739.742311 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x0, 0xa0, 0x6
1737879739.7504532 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x3, 0xa
1737879739.7514503 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0xc, 0xdc, 0xc4, 0xbf
1737879739.752484 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x1, 0x0, 0xc
1737879739.7604322 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x0, 0x0
1737879739.7614248 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x1, 0x10, 0xe1, 0x64
1737879739.7624607 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x1, 0x60, 0x16
1737879739.770534 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x1, 0x85
