1737880438.5483274 CAN1, ID=0x1da, DLC=8, 0x2, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x1, 0x7c
1737880438.5503223 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0x61, 0xcd
1737880438.5533566 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0x80, 0x0, 0x3, 0x7
1737880438.556343 CAN1, ID=0x1da, DLC=8, 0x2, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x2, 0x76
1737880438.5583375 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x3, 0x89
1737880438.5592978 CAN1, ID=0x55a, DLC=8, 0x0, 0x2c, 0x2d, 0x0, 0x5f, 0x0, 0x3a, 0xc8
1737880438.5622897 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0x61, 0xa
1737880438.5642831 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0xc0, 0x0, 0x0, 0xca
1737880438.5652804 CAN1, ID=0x1da, DLC=8, 0x2, 0x40, 0x0, 0x0, 0x7f, 0xff, 0x3, 0x51
1737880438.5703335 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0x61, 0xc6
1737880438.5723019 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x0, 0x0, 0x1, 0xdc
1737880438.5762546 CAN1, ID=0x1da, DLC=8, 0x2, 0x40, 0x0, 0x0, 0x7f, 0xff, 0x0, 0x5b
1737880438.5792468 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0x61, 0x1
1737880438.5812397 CAN1, ID=0x50b, DLC=7, 0x0, 0x0, 0x0, 0xc0, 0x0, 0x0, 0x0, 0x0
1737880438.582236 CAN1, ID=0x5a9, DLC=8, 0xff, 0xff, 0xfd, 0xff, 0xff, 0xff, 0xfe, 0x0
1737880438.5832336 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x4, 0x8a
1737880438.5902147 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x40, 0x0, 0x2, 0x11
1737880438.5912142 CAN1, ID=0x1da, DLC=8, 0x2, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x1, 0x7c
1737880438.593206 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0x61, 0xcd
1737880438.5981932 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0x80, 0x0, 0x3, 0x7
1737880438.5991905 CAN1, ID=0x1da, DLC=8, 0x2, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x2, 0x76
1737880438.6011848 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0x61, 0xa
1737880438.6041765 CAN1, ID=0x45e, DLC=1, 0x0, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0x61, 0xa
1737880438.6051743 CAN1, ID=0x5b9, DLC=7, 0x11, 0x33, 0x62, 0x29, 0x28, 0xa6, 0x0, 0xa
1737880438.607171 CAN1, ID=0x390, DLC=8, 0x4, 0x0, 0x0, 0x0, 0x0, 0x80, 0x21, 0xfa
1737880438.6081676 CAN1, ID=0x393, DLC=8, 0x0, 0x10, 0x0, 0x0, 0x20, 0x0, 0x0, 0x35
1737880438.6091633 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x5, 0x8b
